Date,Publication,Country,Country2,Country3,Topic,Headline,Link
2026-05-24,Guardian,None,,,Other,"With Ebola, we need to learn from past failures",https://www.theguardian.com/world/2026/may/24/with-ebola-we-need-to-learn-from-past-failures
2026-05-24,Guardian,DRC,,,Epidemic,Suspected Ebola cases in DRC pass 900 as health workers face attacks and shortages,https://www.theguardian.com/world/2026/may/24/suspected-ebola-cases-congo-health-workers-attacks
2026-05-25,Guardian,USA,,,Risk communication/conspiracies,Ebola and hantavirus outbreaks prompt raft of conspiracy theories in divided US,https://www.theguardian.com/us-news/2026/may/25/ebola-hantavirus-conspiracy-theories
2026-05-25,Guardian,DRC,,,Protests,Ebola treatment centres burned in eastern DRC as outbreak worsens - video,https://www.theguardian.com/world/video/2026/may/25/ebola-treatment-centres-burned-in-eastern-drc-as-outbreak-worsens-video
2026-05-25,Guardian,DRC,,,Epidemic,"Spread of Ebola in DRC 'outpacing' response efforts, warns WHO",https://www.theguardian.com/world/2026/may/25/spread-of-ebola-in-drc-outpacing-response-efforts-warns-who
2026-05-27,Guardian,DRC,,,Conflict,WHO chief calls for DRC ceasefire to tackle Ebola outbreak,https://www.theguardian.com/world/2026/may/27/who-chief-tedros-calls-for-drc-ceasefire-ebola
2026-05-27,Guardian,Kenya,USA,,Travel restrictions,US building Ebola quarantine center in Kenya for Americans amid outbreak,https://www.theguardian.com/us-news/2026/may/27/trump-administration-ebola-quarantine-kenya
2026-05-28,Guardian,DRC,,,Epidemic,Among the things he feared most was death': the doctors and nurses dying on the Ebola frontline,https://www.theguardian.com/global-development/2026/may/28/medical-staff-ebola-frontline-congolese-doctors-nurses-disease
2026-05-29,Guardian,DRC,,,Funding/aid,Friday briefing: ​What do the cuts in aid mean for the fight against Ebola in the DRC?,https://www.theguardian.com/world/2026/may/29/friday-briefing-what-do-the-cuts-in-aid-mean-for-the-fight-against-ebola-in-the-drc
2026-05-29,Guardian,DRC,,,Other,Burials and tears as Ebola outbreak continues to spread in DRC - in pictures,https://www.theguardian.com/world/gallery/2026/may/29/ebola-outbreak-drc-in-pictures
2026-05-29,Guardian,DRC,,,Epidemic,WHO puts Ebola outbreak death rate at 'huge' 30-50% as chief arrives in DRC,https://www.theguardian.com/world/2026/may/29/who-chief-tedros-adhanom-ghebreyesus-drc-ebola-outbreak-epidemic
2026-05-31,Guardian,DRC,,,Risk communication/conspiracies,WHO calls for community cooperation to contain Ebola outbreak in DRC,https://www.theguardian.com/world/2026/may/31/who-calls-for-community-cooperation-to-contain-drc-ebola-outbreak
2026-06-02,Guardian,Kenya,USA,,Protests,We don't have another country to run to': Kenyans fear US plan for Ebola quarantine site,https://www.theguardian.com/world/2026/jun/02/kenyans-fear-us-plan-for-ebola-quarantine-site
2026-06-03,Guardian,DRC,,,Epidemic,"DRC Ebola outbreak could have begun as early as January, WHO chief says",https://www.theguardian.com/global-development/2026/jun/03/drc-ebola-outbreak-could-have-begun-as-early-as-january-who-chief-says
2026-06-04,Guardian,DRC,,,Conflict,Rebel attacks in eastern DRC kill 30 people and hamper Ebola response,https://www.theguardian.com/global-development/2026/jun/04/allied-democratic-forces-adf-rebel-attacks-massacre-eastern-drc-ebola-response
2026-06-04,Guardian,None,,,Therapeutics/diagnostics,The race to combat Ebola: what vaccines and treatments are being developed and how long will it take?,https://www.theguardian.com/global-development/2026/jun/04/the-race-to-combat-ebola-what-vaccines-and-treatments-are-being-developed-and-how-long-will-it-take
2026-06-04,Guardian,USA,,,Travel restrictions,Experts criticise plan for American-only Ebola quarantine centre in Kenya,https://www.theguardian.com/world/2026/jun/04/experts-criticise-plan-for-american-only-ebola-quarantine-centre-in-kenya
2026-06-05,Guardian,None,,,Environment,A disease of deforestation: how Ebola is linked to the smartphone in your pocket,https://www.theguardian.com/world/2026/jun/05/ebola-mineral-mining-smartphones-congo
2026-06-06,Guardian,Africa,,,Epidemic,"Ebola spread in central Africa could match 2014 record outbreak, US health officials say",https://www.theguardian.com/world/2026/jun/06/ebola-spread-in-central-africa-could-match-2014-record-outbreak-us-health-officials-say
2026-06-09,Guardian,Kenya,USA,,Protests,Man shot dead during protest against proposed US Ebola quarantine facility in Kenya,https://www.theguardian.com/world/2026/jun/09/man-shot-during-protest-against-proposed-us-ebola-quarantine-facility-in-kenya
2026-06-13,Guardian,USA,,,Risk communication/conspiracies,"Data is not enough: from Covid to measles, America must relearn risk communication",https://www.theguardian.com/commentisfree/2026/jun/12/covid-measles-hantavirus-ebola-risk-communication
2026-06-14,Guardian,DRC,,,Epidemic,Ebola one month on: will the latest outbreak in DRC become the most deadly yet?,https://www.theguardian.com/world/2026/jun/14/drcs-ebola-outbreak-become-the-most-deadly-yet
2026-06-17,Guardian,DRC,,,Economic impact/daily life,Lives and incomes lost as Ebola takes toll on Bunia's public-facing workers ,https://www.theguardian.com/world/2026/jun/17/lives-lost-ebola-bunia-workers-drc
2026-06-18,Guardian,USA,,,Funding/aid,CDC to tap $107m in emergency funding for Ebola response in DRC and Uganda,https://www.theguardian.com/us-news/2026/jun/18/cdc-emergency-ebola-funding
2026-06-23,Guardian,Kenya,USA,,Protests,Kenyan minister orders halt to construction of US Ebola facility,https://www.theguardian.com/world/2026/jun/23/kenya-minister-orders-halt-us-ebola-facility
2026-06-24,Guardian,France,,,Repatriation/Importation,France confirms first Ebola case in doctor who had worked in DRC,https://www.theguardian.com/world/2026/jun/24/france-ebola-first-case-doctor-drc
2026-06-26,Guardian,DRC,,,Epidemic,Whereabouts of nearly 300 people with Ebola unknown in DR Congo,https://www.theguardian.com/global-development/2026/jun/26/whereabouts-of-nearly-300-people-with-ebola-unknown-in-drc
2026-06-30,Guardian,UK,,,Repatriation/Importation,Patient being tested for Ebola virus at Glasgow hospital,https://www.theguardian.com/uk-news/2026/jun/30/patient-being-tested-for-suspected-ebola-virus-at-glasgow-hospital
2026-07-02,Guardian,None,,,Environment,Understanding Ebola's wildlife origins is crucial to preventing next big outbreak,https://www.theguardian.com/environment/2026/jul/02/understanding-ebola-wildlife-origins-crucial-preventing-next-big-outbreak
2026-07-07,Guardian,USA,,,Funding/aid,What will define Elon Musk's legacy? Doge cuts to USAID Ebola programs,https://www.theguardian.com/technology/2026/jul/07/elon-musk-doge-cuts-usaid-ebola
2026-07-10,Guardian,DRC,,,Epidemic,"Fastest growing Ebola outbreak ever: how conflict, aid cuts and misinformation fuel a deadly threat",https://www.theguardian.com/world/2026/jul/10/visualised-how-conflict-aid-cuts-and-health-worker-attacks-are-helping-ebola-spread-in-drc
2026-07-12,Guardian,DRC,,,Therapeutics/diagnostics,First patients enrolled in record-breaking Ebola treatment trial in DRC,https://www.theguardian.com/global-development/2026/jul/12/record-breaking-ebola-treatment-trial-drc
2026-07-16,Guardian,Germany,USA,,Repatriation/Importation,New US Ebola patient arrives in Germany for treatment,https://www.theguardian.com/world/2026/jul/14/american-ebola-patient-arrives-germany
2026-07-16,Guardian,Uganda,,,Travel restrictions,Uganda calls for travel restrictions to be lifted after last Ebola patient discharged,https://www.theguardian.com/global-development/2026/jul/16/uganda-travel-restrictions-last-ebola-patient-discharged
2026-07-17,Guardian,Kenya,USA,,Travel restrictions,"Seven Americans quarantining at Kenya Ebola facility after US travel ban, says aid group",https://www.theguardian.com/us-news/2026/jul/17/ebola-us-aid-workers-kenya
2026-07-21,Guardian,UK,,,Repatriation/Importation,Health worker monitored for Ebola in London hospital after working in DRC,https://www.theguardian.com/world/2026/jul/21/health-worker-being-monitored-for-ebola-in-london-hospital-after-working-in-drc
2026-07-31,Guardian,DRC,,,Epidemic,Ebola outbreak in DRC the fastest growing in the history of the virus,https://www.theguardian.com/global-development/2026/jul/31/ebola-outbreak-in-drc-the-fastest-growing-in-the-history-of-the-virus
2026-05-15,Mail,DRC,,,Epidemic,More than 60 dead as new Ebola outbreak hits DR Congo with hundreds of suspected cases,https://www.dailymail.com/news/article-15820631/More-60-dead-new-Ebola-outbreak-hits-DR-Congo-hundreds-suspected-cases.html
2026-05-17,Mail,DRC,,,Epidemic,Ebola outbreak is declared an emergency of 'international concern' as 80 die with hundreds more thought to be infected by virus that has already spread to new countries,https://www.dailymail.com/news/article-15825337/Ebola-outbreak-declared-emergency-international-concern-80-die-hundreds-thought-infected-virus-spread-new-countries.html
2026-05-18,Mail,DRC,,,Epidemic,No vaccine... no treatment': Experts raise alarm over rare strain of Ebola spreading through Africa as WHO declares global health emergency,https://www.dailymail.com/health/article-15826943/Ebola-Africa-global-health-emergency.html
2026-05-20,Mail,USA,,,Travel restrictions,CDC restricts travel after Americans are exposed to Ebola virus that kills HALF of those infected,https://www.dailymail.com/health/article-15827907/CDC-global-response-ebola-outbreak-congo.html
2026-05-18,Mail,Germany,USA,,Repatriation/Importation,American tests positive for rare incurable Ebola strain... as outbreak spreads and kills more than 100,https://www.dailymail.com/health/article-15828679/american-infected-ebola-outbreak-congo.html
2026-05-19,Mail,USA,,,World cup,CDC 'working with FIFA to ensure safety' of World Cup as team from Ebola outbreak epicenter is set to travel to US,https://www.dailymail.com/health/article-15832081/CDC-FIFA-World-Cup-Congo-traveling-US-Ebola-outbreak.html
2026-05-20,Mail,DRC,,,Epidemic,Concerns of global Ebola spread grow as workers claim deadly virus was spreading unchecked for weeks,https://www.dailymail.com/health/article-15834239/Ebola-outbreak-Congo-Uganda-virus-spreading.html
2026-05-21,Mail,DRC,,,World cup,"World Cup Ebola fears as Congo are forced to cancel their pre-tournament camp in bid to stop the deadly virus spreading, weeks before they fly to US",https://www.dailymail.com/sport/football/article-15837439/World-Cup-Ebola-fears-Congo-cancel-pre-tournament-camp-deadly-virus.html
2026-05-21,Mail,USA,,,Travel restrictions,Flight to US carrying passenger from Ebola epicenter diverted... as officials reroute Americans to DC airport for screening,https://www.dailymail.com/health/article-15837741/Americans-risk-Ebola-outbreak-DC-Dulles-airport.html
2026-05-22,Mail,None,,,Epidemic,Former CDC director Robert Redfield warns Ebola outbreak could spark a new 'significant pandemic',https://www.dailymail.com/health/article-15840787/ebola-outbreak-pandemic-robert-redfield.html
2026-05-22,Mail,UK,,,Therapeutics/diagnostics,Oxford scientists developing new vaccine to tackle Ebola outbreak within months,https://www.dailymail.com/news/article-15841127/Oxford-scientists-developing-new-vaccine-tackle-Ebola-outbreak-months.html
2026-05-22,Mail,Germany,USA,,Repatriation/Importation,American infected with Ebola worried he 'wasn't going to make it' as he is evacuated to Germany for critical care,https://www.dailymail.com/health/article-15840939/American-doctor-infected-Ebola-Germany-DRC-bundibugyo.html
2026-05-22,Mail,USA,,,World cup,Donald Trump's World Cup chief orders Congo team to isolate in Ebola 'bubble' before arriving in US amid deadly virus outbreak,https://www.dailymail.com/sport/football/article-15841827/donald-trump-world-cup-congo-ebola-outbreak.html
2026-05-22,Mail,DRC,,,Epidemic,"Ebola outbreak in Congo is 'spreading rapidly' and a 'very high risk', WHO warns",https://www.dailymail.com/news/article-15840949/Ebola-outbreak-Congo-spreading-rapidly-high-risk-warns.html
2026-05-23,Mail,USA,,,World cup,Experts sound alarm on outbreak of deadly eye-bleeding virus... and reveal disaster scenario America isn't prepared for,https://www.dailymail.com/health/article-15830865/ebola-america-world-cup-fears-vaccine.html
2026-05-24,Mail,DRC,,,Ebola virus,New Ebola sub-strain jumped 'from fruit bats' to humans - as Congo records more than 200 deaths while Uganda confirms three new cases,https://www.dailymail.com/news/article-15844433/New-Ebola-sub-strain-jumped-fruit-bats-humans-Congo-records-200-deaths-Uganda-confirms-three-new-cases.html
2026-05-25,Mail,DRC,,,Epidemic,"Ebola outbreak caused by rare strain with no vaccine, warn experts as cases pass 900 and first Red Cross volunteers die from the virus",https://www.dailymail.com/health/article-15846399/Ebola-outbreak-rare-strain-no-vaccine.html
2026-05-25,Mail,Italy,,,Repatriation/Importation,Two suspected Ebola cases in Italy: Highly infectious strain with no vaccine 'may be in Europe',https://www.dailymail.com/news/article-15847545/two-suspected-Ebola-cases.html
2026-05-26,Mail,USA,,,Travel restrictions,Ebola screenings begin at three major airports as deadly outbreak spreads and travelers face fever checks and home visits,https://www.dailymail.com/health/article-15849105/Ebola-screenings-begin-three-major-airports.html
2026-05-27,Mail,DRC,,,Epidemic,"Ebola outbreak 'spreading faster than can be controlled' warns WHO as cases rise to over 1,00",https://www.dailymail.com/health/article-15851441/Ebola-outbreak-spreading-faster-controlled-warns-cases-rise-1-000.html
2026-05-27,Mail,USA,,,Other,My terrifying Ebola scare in Texas still haunts me. Now experts fear this deadly eye-bleeding virus is heading for the US... and no one is ready: LAURA COLLINS,https://www.dailymail.com/news/article-15852665/ebola-virus-world-cup-fears.html
2026-05-27,Mail,Kenya,USA,,Travel restrictions,Americans exposed to Ebola face being shipped to Kenya under shock Trump plan,https://www.dailymail.com/health/article-15853499/trump-americans-ebola-kenya-quarantine.html
2026-05-28,Mail,Austria,,,Repatriation/Importation,Suspected Ebola case in Austria: patient returning from Uganda admitted to hospital with possible symptoms of the highly infectious virus with no vaccine,https://www.dailymail.com/health/article-15855071/Suspected-Ebola-case-Austria-patient.html
2026-05-28,Mail,None,,,Travel restrictions,Countries enact travel bans over Ebola fears as another US airport starts enhanced screenings,https://www.dailymail.com/health/article-15855675/countries-travel-bans-ebola-usa-jfk.html
2026-05-29,Mail,Kenya,USA,,Protests,Kenya blocks Trump's plan to treat Americans exposed to Ebola… as suspected patients 'escape' from hospital and create widespread 'contamination',https://www.dailymail.com/health/article-15858785/kenya-refuses-trump-ebola-plan.html
2026-05-30,Mail,Australia,,,Repatriation/Importation,Relief as Australia survives its first potential Ebola scare,https://www.dailymail.com/news/article-15860649/Australia-Ebola-outbreak-Victoria.html
2026-05-31,Mail,Brazil,,,Repatriation/Importation,"Ebola surge has reached Brazil, experts fear as outbreak kills 250 in central Africa and aid struggles to keep up",https://www.dailymail.com/news/article-15862601/Ebola-surge-reached-Brazil-experts-fear.html
2026-06-01,Mail,Brazil,Italy,,Repatriation/Importation,Brazil and Italy monitor patients with Ebola symptoms as health officials warn 'never before has an outbreak recorded so many cases so soon,https://www.dailymail.com/health/article-15863537/Brazil-Italy-monitor-patients-Ebola-symptoms-health-officials-warn-never-outbreak-recorded-cases-soon.html
2026-06-04,Mail,UK,,,Pandemic preparedness,NHS warns staff to 'prepare for Ebola outbreak in the UK' as eye-bleeding disease kills hundreds in Africa: 'Stock up on PPE and isolate patients ASAP',https://www.dailymail.com/health/article-15873619/NHS-staff-prepare-Ebola-outbreak-UK-Africa.html
2026-06-02,Mail,DRC,,,Epidemic,"Ebola outbreak 'likely far worse' than what officials report... as cases grow to more than 1,000 in multiple countries",https://www.dailymail.com/health/article-15867609/ebola-outbreak-drc-uganda-south-sudan.html
2026-06-02,Mail,None,,,Therapeutics/diagnostics,Race to create Ebola vaccine is ON: Three jabs in development amid growing outbreak fears as 250 die in two African nations,https://www.dailymail.com/health/article-15866677/Three-Ebola-vaccines-development-amid-growing-outbreak-fears.html
2026-06-08,Mail,USA,,,World cup,"The World Cup could be a superspreader event: Experts warn the tournament will have the 'perfect conditions' for infectious diseases - including Ebola, Covid-19, and STIs",https://www.dailymail.com/sciencetech/article-15882411/World-Cup-superspreader-infectious-diseases.html
2026-06-10,Mail,USA,,,World cup,Deadly virus with no vaccine that's threatening to derail the World Cup: As officials scramble... read the horror worst case scenario,https://www.dailymail.com/sport/football/article-15872085/ebola-virus-world-cup-drc-houston.html
2026-06-10,Mail,None,,,Other,Study warns Ebola survivors battle ongoing neurological issues for life - after NHS warned staff to prepare for an outbreak in the UK,https://www.dailymail.com/health/article-15888467/Study-warns-Ebola-survivors-battle-ongoing-neurological-issues-life-NHS-warned-staff-prepare-outbreak-UK.html
2026-06-09,Mail,USA,,,World cup,Trump's bombshell plot to deflect blame for an Ebola outbreak at the World Cup is 'leaked',https://www.dailymail.com/sport/football/article-15886665/trump-plot-ebola-world-cup.html
2026-06-16,Mail,DRC,,,Epidemic,"True scale of Ebola outbreak is underestimated and the deadly virus is continuing to spread 'undetected', warns Oxfam",https://www.dailymail.com/health/article-15903605/Ebola-outbreak-underestimated-virus-spread-Oxfam.html
2026-06-24,Mail,France,,,Repatriation/Importation,Ebola confirmed in France: Officials report first case of eye-bleeding disease after doctor returning from Democratic Republic of Congo tests positive,https://www.dailymail.com/health/article-15925635/Ebola-virus-confirmed-France-doctor-tests-positive.html
2026-06-25,Mail,France,,,Travel restrictions,Travel restrictions tightened in Ebola epicenter after France confirms first case of incurable deadly virus,https://www.dailymail.com/health/article-15930683/france-ebola-case-travel-restrictions.html
2026-06-26,Mail,France,,,Repatriation/Importation,"French man fell ill with Ebola while on flight from Democratic Republic of Congo, sparking new outbreak fears",https://www.dailymail.com/health/article-15931791/French-man-ill-Ebola-flight-Congo.html
2026-07-01,Mail,UK,,,Pandemic preparedness,Britain unprepared for Ebola? MPs raise alarm over lack of published government plan to tackle eye-bleeding disease outbreak after France records its first case,https://www.dailymail.com/health/article-15944407/Britain-plan-Ebola-MPs-disease-outbreak-France-case.html
2026-07-01,Mail,USA,,,World cup,DR Congo's statue superfan will NOT attend World Cup clash against England and is stranded in Mexico after being denied US visa - with Gen Z version set to replace him,https://www.dailymail.com/sport/football/article-15943849/DR-Congo-statue-fan-World-Cup-England-Mexico-visa.html
2026-06-30,Mail,UK,,,Repatriation/Importation,Suspected Ebola patient who 'locked down Scottish hospital' tests negative for deadly virus,https://www.dailymail.com/news/article-15942695/Scottish-hospital-locked-Ebola-fears.html
2026-07-01,Mail,USA,,,Travel restrictions,US issues travel advisory after cases of eye-bleeding disease are reported in region already battling Ebola outbreak,https://www.dailymail.com/health/article-15944931/us-travel-advisory-uganda-marburg-ebola.html
2026-07-16,Mail,USA,,,Travel restrictions,Americans returning from Ebola epicenter denied entry into US for 21 days... as highest 'Do not travel' alert is issued,https://www.dailymail.com/health/article-15982335/americans-ebola-congo-denied-entry.html
2026-07-13,Mail,USA,,,Repatriation/Importation,Another American tests positive for incurable Ebola strain as outbreak continues to spread,https://www.dailymail.com/health/article-15973937/american-tests-positive-ebola-congo-outbreak.html
2026-07-13,Mail,UK,,,Therapeutics/diagnostics,Britons will receive Ebola vaccine 'within weeks' in world-first trial - as growing outbreak kills 100 victims per week,https://www.dailymail.com/health/article-15973215/Britons-receive-EBOLA-vaccine-weeks-world-vaccine-trial-growing-outbreak-kills-100-victims-week.html
2026-07-21,Mail,UK,,,Repatriation/Importation,Suspected Ebola case is being monitored at a London hospital after 'exposure in the Democratic Republic of the Congo',https://www.dailymail.com/health/article-15994837/Suspected-ebola-case-treated-London-hospital-exposure-Democratic-Republic-Congo.html
2026-08-03,Sun,DRC,,,Epidemic,Deadly Ebola outbreak took 'five months to spot' as 44% of infected die amid 'intense transmission',https://www.thesun.co.uk/health/39949508/deadly-ebola-outbreak-took-months-spot/
2026-07-27,Sun,DRC,,,Epidemic,"Ebola outbreak 'fastest-growing' in history as rapidly rising death toll hits 1,400 and health workers strike",https://www.thesun.co.uk/health/39881717/ebola-kills-fast-health-workers-strike/
2026-07-21,Sun,UK,,,Repatriation/Importation,UK humanitarian worker evacuated to London hospital after being exposed to Ebola virus in DR Congo outbreak,https://www.thesun.co.uk/health/39832556/uk-aid-worker-ebola-scare-congo/
2026-07-20,Sun,DRC,,,Epidemic,Ebola outbreak spreading from DEAD bodies - as death toll hits grim 800 and cases surge 70% in a fortnight,https://www.thesun.co.uk/health/39812505/ebola-dead-bodies-spread/
2026-06-30,Sun,UK,,,Repatriation/Importation,Patient tests negative at major Glasgow hospital after Ebola scare,https://www.thesun.co.uk/news/39600996/glasgow-hospital-unit-locked-down-ebola-fears/
2026-06-26,Sun,France,,,Repatriation/Importation,"Unstoppable Ebola outbreak sparks 3-week quarantine rule after detection in France and cases soar to 1,155",https://www.thesun.co.uk/health/39551027/ebola-outbreak-sparks-quarantine-rule-france/
2026-06-24,Sun,France,,,Repatriation/Importation,"Ebola case detected in France as deadly virus kills 267 and infects 1,000 people in spiralling outbreak",https://www.thesun.co.uk/health/39522716/ebola-france-outbreak-deadly-virus-kills-hundreds/
2026-06-24,Sun,DRC,,,World cup,Famous DR Congo fan makes first World Cup 2026 appearance for Colombia clash after being forced to quarantine,https://www.thesun.co.uk/sport/39520260/dr-congo-fan-lumumba-mboladinga-world-cup-colombia/
2026-06-22,Sun,DRC,,,Epidemic,"Ebola cases surpass 1,000 as 35,000 contacts 'missing' in one week and officials admit 'peak is yet to come'",https://www.thesun.co.uk/health/39496983/ebola-cases-surge-peak-yet-to-come/
2026-06-19,Sun,DRC,,,World cup,DR Congo's most iconic fan misses historic World Cup draw with Portugal as he's forced to quarantine over Ebola fears,https://www.thesun.co.uk/sport/39471061/dr-congo-fan-misses-world-cup-draw-ebola-fears/
2026-06-16,Sun,DRC,,,Epidemic,Outbreak of Ebola strain 'largest on record' as true case number 'unknown' and contact tracing misses half,https://www.thesun.co.uk/health/39427975/ebola-outbreak-strain-largest-record-cases-unknown/
2026-06-05,Sun,UK,,,Pandemic preparedness,GPs and nurses told to prepare for Ebola outbreak as UK airports slapped with warnings - 'stock up on PPE',https://www.thesun.co.uk/health/39316055/ebola-outbreak-warning-gp-nurses-nhs-prepare-ppe/
2026-06-03,Sun,DRC,,,World cup,World Cup side's tournament preparation in chaos as mayor CANCELS friendly over Ebola fears,https://www.thesun.co.uk/sport/39294888/world-cup-dr-congo-chile-friendly-cancelled-ebola-fears/
2026-06-01,Sun,Brazil,,,Repatriation/Importation,Ebola feared to have hit ANOTHER continent with two suspected cases in Brazil as outbreak leaves officials scrambling,https://www.thesun.co.uk/health/39264916/ebola-surge-hits-brazil-aid-struggles/
2026-05-31,Sun,USA,,,World cup,"Fears World Cup could be 'superspreader event' as Ebola cases spin out of control & 2,000 'infected with no symptoms'",https://www.thesun.co.uk/sport/39229391/world-cup-ebola-superspreader-fears/
2026-05-28,Sun,Austria,,,Repatriation/Importation,Another suspected ebola case in Europe as patient displays symptoms of deadly virus after journey from outbreak hotspot,https://www.thesun.co.uk/health/39241395/ebola-scare-europe-patient-deadly-virus/
2026-05-27,Sun,DRC,,,Epidemic," Ebola outbreak to be the DEADLIEST on record, aid chiefs fear - as travel bans spread and disease spins 'out of control'",https://www.thesun.co.uk/health/39227942/ebola-outbreak-deadliest-record-health-chiefs-fear/
2026-05-26,Sun,DRC,,,Epidemic,Warning Ebola outbreak now 'out of control' amid frantic race for vaccine after 220 die & WHO makes chilling admission,https://www.thesun.co.uk/health/39222703/ebola-outbreak-out-control-amid-frantic-vaccine-race/
2026-05-26,Sun,DRC,,,Protests,Deadly Ebola outbreak 'outpacing' response as deaths rise to 220 and armed protestors storm hospitals,https://www.thesun.co.uk/health/39218162/deadly-ebola-outbreak-outpaces-response-protestors-storm-hospitals/
2026-05-25,Sun,Italy,,,Repatriation/Importation,Health alert after two suspected Ebola cases detected in Italy - as WHO warns epidemic in DR Congo 'extremely serious',https://www.thesun.co.uk/health/39215515/ebola-alert-italy-dr-congo-epidemic-serious/
2026-05-25,Sun,DRC,,,Epidemic, Covid style measures imposed as Ebola cases surge to 900 and risk level raised to 'very high',https://www.thesun.co.uk/health/39212128/covid-style-measures-ebola-cases-surge-congo/
2026-05-22,Sun,USA,,,World cup,We cannot be clearer' - World Cup team could be banned from tournament as statement released,https://www.thesun.co.uk/sport/39192962/world-cup-dr-congo-tournament-statement-released/
2026-05-22,Sun,DRC,,,Protests,Protesters storm Ebola hospital to retrieve victim's body as they set fire to treatment tents and police open fire,https://www.thesun.co.uk/news/39184169/protesters-storm-ebola-hospital-retrieve-body-fire-tents/
2026-05-21,Sun,DRC,,,World cup,World Cup squad cancels training over Ebola outbreak in Congo as deadly disease spreads just weeks before tournament,https://www.thesun.co.uk/sport/39174671/world-cup-squad-cancels-training-ebola-outbreak-congo/
2026-05-21,Sun,Canada,USA,,Travel restrictions,Plane heading to US forced to divert mid-air over Ebola fears after passenger from Congo boarded flight 'in error',https://www.thesun.co.uk/news/39171963/plane-divert-ebola-fears-passenger-error/
2026-05-20,Sun,DRC,,,Epidemic,"True scale of 'serious' Ebola epidemic is unknown, health chief admits - & any vaccine for deadly strain is MONTHS away",https://www.thesun.co.uk/health/39162575/ebola-epidemic-scale-unknown-vaccine-months-away/
2026-05-19,Sun,DRC,,,Epidemic,How Ebola superspreader 'trigger' event has echoes of 2014 disaster - as 5 other disturbing similarities revealed,https://www.thesun.co.uk/health/39151041/ebola-superspreader-trigger-event-chilling-similarities/
2026-05-19,Sun,DRC,,,Epidemic,Macabre 'source' of 'deeply concerning' Ebola epidemic is revealed as death toll rises to 131 & WHO calls crisis meeting,https://www.thesun.co.uk/health/39149202/ebola-epidemic-death-toll-rises-who-crisis-meeting/
2026-05-18,Sun,None,,,Ebola virus,From eye-bleeding to liver failure and 30% death rate - terrifying truth about Ebola 'spreading undetected for weeks',https://www.thesun.co.uk/health/39139401/ebola-strain-spreads-undetected-weeks-congo-deaths/
2026-05-18,Sun,None,,,Epidemic,Fears foreigners have been exposed to Ebola strain with 30% kill rate and NO CURE as global health emergency is declared,https://www.thesun.co.uk/health/39138390/foreigners-exposed-ebola-strain-30-kill-rate-no-cure/
2026-05-17,Sun,DRC,,,Epidemic,Ebola outbreak declared emergency of 'international concern' as 88 die and rare new strain spreads 'undetected',https://www.thesun.co.uk/news/39132745/ebola-emergency-declared-new-strain-spreads/
2026-05-15,Sun,DRC,,,Epidemic,Ebola outbreak CONFIRMED as 65 die and hundreds are infected with highly contagious and deadly disease in Congo,https://www.thesun.co.uk/health/39121519/ebola-outbreak-congo-kills-dozens/
2026-06-08,Independent,DRC,,,Epidemic,Confirmed Ebola cases pass 550 after US warning spread could match record outbreak,https://www.independent.co.uk/news/world/africa/ebola-virus-outbreak-drc-uganda-aid-b2991954.html
2026-06-24,Independent,France,,,Repatriation/Importation,France reports first Ebola case in doctor returning from Congo,https://www.independent.co.uk/news/world/europe/ebola-outbreak-france-case-congo-b3001992.html
2026-06-13,Independent,DRC,,,Epidemic,The struggles of the city at the centre of the Ebola crisis: 'Cases are rising super fast',https://www.independent.co.uk/news/world/africa/ebola-outbreak-virus-cases-drc-hospital-b2994372.html
2026-05-18,Independent,DRC,,,Ebola virus,I'm a microbiologist. Here's what we know about the Ebola outbreak declared a global health emergency,https://www.independent.co.uk/news/world/africa/ebola-virus-outbreak-symptoms-uganda-b2978488.html
2026-07-28,Independent,Uganda,,,Epidemic,"Uganda declares itself Ebola free as deaths surge past 1,400 in DR Congo",https://www.independent.co.uk/news/world/africa/ebola-uganda-virus-congo-outbreak-aid-b3022878.html
2026-06-02,Independent,Africa,,,Travel restrictions,Is it safe to travel to Africa during the Ebola outbreak?,https://www.independent.co.uk/travel/news-and-advice/ebola-africa-is-it-safe-advice-uganda-dr-congo-b2988082.html
2026-06-09,Independent,DRC,,,Epidemic,Ebola death toll soars to 100 less than a month after outbreak declared,https://www.independent.co.uk/news/world/africa/ebola-deaths-congo-uganda-who-b2992307.html
2026-06-05,Independent,DRC,,,Epidemic,"Ebola outbreak in Central Africa could reach 20,000 cases without strong public health measures",https://www.independent.co.uk/news/ebola-new-york-centers-for-disease-control-and-prevention-west-africa-ebola-virus-b2990837.html
2026-06-18,Independent,None,,,Other,"Ebola can remain in nervous system of recovered patients and relapse years later, study warns",https://www.independent.co.uk/news/science/ebola-virus-outbreak-relapse-nerves-b2998257.html
2026-05-18,Independent,DRC,,,Epidemic,Timeline of Ebola outbreak as delayed response is blamed for growing cases and deaths,https://www.independent.co.uk/news/health/ebola-outbreak-timeline-who-uganda-congo-b2979054.html
2026-07-10,Independent,DRC,,,Epidemic,Ebola outbreak in DR Congo 'fastest growing on record',https://www.independent.co.uk/news/world/africa/congo-ebola-outbreak-uganda-un-aid-b3012557.html
2026-05-27,Independent,None,,,Epidemic,Mapped: The countries where Ebola has spread around the world,https://www.independent.co.uk/news/health/ebola-outbreak-map-countries-spread-b2984259.html
