Date,Publication,Country,Country2,Country3,Topic,Headline,Link
2026-06-08,Independent,DRC,,,Economic impact/daily life,"Celebrating a wedding amid the Ebola outbreak: No kisses or close contact, but love lives here",https://www.independent.co.uk/news/ebola-congo-mass-catholic-church-b2991687.html
2026-06-10,Independent,DRC,,,Epidemic,Two babies from Congo orphanage die of Ebola as outbreak death toll climbs,https://www.independent.co.uk/news/world/africa/ebola-outbreak-congo-ituri-virus-b2993395.html
2026-05-28,Independent,DRC,,,Repatriation/Importation,American doctor tests positive for Ebola as death toll in Congo outbreak surpasses 100,https://www.independent.co.uk/news/health/american-doctor-ebola-outbreak-deaths-cdc-b2978960.html
2026-06-16,Independent,None,,,Therapeutics/diagnostics,Is there a vaccine for Ebola? The treatments being developed for the Bundibugyo strain,https://www.independent.co.uk/news/health/ebola-vaccine-treatment-bundibugyo-strain-b2996433.html
2026-07-23,Independent,DRC,,,Epidemic,"What experts are saying as Ebola outbreak in Congo and Uganda kills more that 1,000 people",https://www.independent.co.uk/news/ebola-congo-uganda-world-health-organization-dakar-b3020217.html
2026-05-21,Independent,DRC,,,Epidemic,Fears as Ebola cases reported in rebel-held area hundred of kilometres from epicentre,https://www.independent.co.uk/news/health/ebola-outbreak-2026-congo-symptoms-b2981041.html
2026-05-23,Independent,DRC,,,Epidemic,Red Cross mourns three volunteers who died in Ebola outbreak,https://www.independent.co.uk/news/health/red-cross-ebola-deaths-volunteers-congo-b2982509.html
2026-05-21,Independent,DRC,,,Protests,Ebola treatment centre set on fire in Congo amid anger over virus outbreak,https://www.independent.co.uk/news/health/ebola-outbreak-conga-virus-rwampara-b2981384.html
2026-07-21,Independent,UK,,,Repatriation/Importation,UK humanitarian worker in London hospital after 'potential exposure to Ebola',https://www.independent.co.uk/news/health/ebola-uk-humanitarian-worker-london-hospital-b3019136.html
2026-05-26,Independent,DRC,,,Risk communication/conspiracies,Ebola outbreak aid workers are now facing new threats from suspicious locals,https://www.independent.co.uk/news/world/africa/ebola-aid-workers-congo-threats-b2983460.html
